Time Stamp,Average Speed (mph)
11/1/01 17:30,9.4
11/1/01 17:40,12.2
11/1/01 17:50,13
11/1/01 18:00,11.3
11/1/01 18:10,9.6
11/1/01 18:20,9.9
11/1/01 18:30,8.2
11/1/01 18:40,6.2
11/1/01 18:50,6.4
11/1/01 19:00,7.7
11/1/01 19:10,9.2
11/1/01 19:20,8.4
11/1/01 19:30,9.4
11/1/01 19:40,10.5
11/1/01 19:50,10.3
11/1/01 20:00,9.9
11/1/01 20:10,10.4
11/1/01 20:20,11.8
11/1/01 20:30,13.3
11/1/01 20:40,13.8
11/1/01 20:50,13.6
11/1/01 21:00,11.7
11/1/01 21:10,7.9
11/1/01 21:20,9
11/1/01 21:30,9.3
11/1/01 21:40,8.5
11/1/01 21:50,10.6
11/1/01 22:00,11
11/1/01 22:10,10.8
11/1/01 22:20,9.9
11/1/01 22:30,10.9
11/1/01 22:40,11.5
11/1/01 22:50,11.7
11/1/01 23:00,11
11/1/01 23:10,11.6
11/1/01 23:20,11.7
11/1/01 23:30,11
11/1/01 23:40,12.1
11/1/01 23:50,13.1
11/2/01 0:00,13.9
11/2/01 0:10,13.2
11/2/01 0:20,13
11/2/01 0:30,13.1
11/2/01 0:40,12.7
11/2/01 0:50,13.7
11/2/01 1:00,13.8
11/2/01 1:10,14.2
11/2/01 1:20,12.9
11/2/01 1:30,14.1
11/2/01 1:40,13.5
11/2/01 1:50,12.3
11/2/01 2:00,12.1
11/2/01 2:10,13
11/2/01 2:20,15.1
11/2/01 2:30,14.6
11/2/01 2:40,14.6
11/2/01 2:50,14.8
11/2/01 3:00,15.1
11/2/01 3:10,14
11/2/01 3:20,13.4
11/2/01 3:30,13.9
11/2/01 3:40,13.3
11/2/01 3:50,13.3
11/2/01 4:00,13
11/2/01 4:10,12.4
11/2/01 4:20,12
11/2/01 4:30,11.4
11/2/01 4:40,11.7
11/2/01 4:50,12.3
11/2/01 5:00,12.9
11/2/01 5:10,12
11/2/01 5:20,11.1
11/2/01 5:30,12.7
11/2/01 5:40,12.6
11/2/01 5:50,12.8
11/2/01 6:00,12
11/2/01 6:10,10.9
11/2/01 6:20,10.6
11/2/01 6:30,11.6
11/2/01 6:40,11.1
11/2/01 6:50,10.2
11/2/01 7:00,9.4
11/2/01 7:10,8.5
11/2/01 7:20,7.2
11/2/01 7:30,7.7
11/2/01 7:40,9
11/2/01 7:50,9.5
11/2/01 8:00,9.4
11/2/01 8:10,9.3
11/2/01 8:20,8.7
11/2/01 8:30,8.3
11/2/01 8:40,8.4
11/2/01 8:50,8.8
11/2/01 9:00,8.4
11/2/01 9:10,7.7
11/2/01 9:20,7
11/2/01 9:30,7.1
11/2/01 9:40,7.7
11/2/01 9:50,6.6
11/2/01 10:00,6
11/2/01 10:10,4.9
11/2/01 10:20,3.7
11/2/01 10:30,4.5
11/2/01 10:40,4
11/2/01 10:50,5.1
11/2/01 11:00,4.9
11/2/01 11:10,5
11/2/01 11:20,5.6
11/2/01 11:30,5.3
11/2/01 11:40,5.6
11/2/01 11:50,5.2
11/2/01 12:00,5.8
11/2/01 12:10,8.3
11/2/01 12:20,7.1
11/2/01 12:30,9.5
11/2/01 12:40,9.7
11/2/01 12:50,9.4
11/2/01 13:00,12.9
11/2/01 13:10,15
11/2/01 13:20,12.2
11/2/01 13:30,14.5
11/2/01 13:40,13.7
11/2/01 13:50,15.1
11/2/01 14:00,16.1
11/2/01 14:10,17
11/2/01 14:20,16.7
11/2/01 14:30,17.9
11/2/01 14:40,17.9
11/2/01 14:50,18.3
11/2/01 15:00,18.6
11/2/01 15:10,18.1
11/2/01 15:20,19.1
11/2/01 15:30,19.7
11/2/01 15:40,18.3
11/2/01 15:50,19.5
11/2/01 16:00,18.9
11/2/01 16:10,19.3
11/2/01 16:20,18.2
11/2/01 16:30,18
11/2/01 16:40,17.6
11/2/01 16:50,15.9
11/2/01 17:00,15.5
11/2/01 17:10,14.3
11/2/01 17:20,14.4
11/2/01 17:30,12.6
